agency,search_disparity,hit_disparity
ct_hartford_2020_04_01,0.5247376834486772,0.48654150416704467
ct_statewide_2020_04_01,4.455094377307519,-7.710571450053013
la_new_orleans_2020_04_01,4.769754538480679,3.6388625406747437
nc_charlotte_2020_04_01,4.583064495564732,0.2176404829501415
nc_durham_2020_04_01,4.889884546883176,0.15208377587733324
nc_fayetteville_2020_04_01,3.0204962625908918,2.246041674599404
nc_greensboro_2020_04_01,3.376905149345732,-0.4498005654378261
nc_raleigh_2020_04_01,2.5852857407179552,2.2606880773928957
pa_philadelphia_2020_04_01,0.8558853078744777,-1.7664834108063836
tn_nashville_2020_04_01,2.968926599091502,0.8504117182330511
